baseline_presacc_mean,baseline_presacc_STD,baseline_presacc_raw_mean,baseline_presacc_raw_STD,max_visual,mean_visual,max_memory,mean_memory,max_visual_raw,mean_visual_raw,max_raw_memory,mean_memory_raw,Visual_response_STDFromMean,memRespSTDfromMean,above_mean+SD_visual_response,above_mean+SD_memory_response,last_baseline_mean,first_memory_mean,TaskType,baseline_max_raw,visual_response_strength,memory_response_strength,memory_presacc_raw_mean,visual_presacc_raw_mean,baseline_raw_mean,memory_latency,visual_latency,memory_raw_latency,visual_raw_latency,visual_vs_memory_ttest,baseline_vs_memory_ttest,baseline_presacc_max,baseline_max,memory_presacc_max,memory_max,visual_presacc_max,visual_max,baseline_presacc_mean_narrow,baseline_mean,memory_presacc_mean_narrow,memory_mean_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_vs_memory_ranksum,memory_response_BC,baseline_presacc_max_raw,memory_presacc_max_raw,baseline_presacc_max_narrow,baseline_max_narrow,memory_presacc_mean_psth,memory_mean_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_vs_memory_ttest_from_mean,visual_vs_baseline_ttest,memory_vs_baseline_ttest,visual_vs_memory_ztest,visual_vs_baseline_ztest,memory_vs_baseline_ztest,visual_vs_memory_ttest_h,visual_vs_baseline_ttest_h,memory_vs_baseline_ttest_h,memory_vs_presacc_baseline_ztest,last_baseline_max,first_memory_max,last_baseline_median,first_memory_median,baseline_presacc_median,baseline_median,memory_presacc_median,memory_median,visual_presacc_median,visual_median,memory_vs_baseline_median_ztest,memory_vs_baseline_median_kstest,baseline_modulation_perisacc_max_ranksum,memory_vs_baseline_median_ztest2,baseline_modulation_median,median_visual_response_BC,baseline_modulation_median_gauss,visual_response_median_gauss_BC,memory_response_gauss_mean_BC,memory_response_gauss_max_BC,memory_response_gauss_median_BC,baseline_presacc_gauss_mean,baseline_gauss_mean,baseline_presacc_gauss_mean_narrow,baseline_gauss_mean_narrow,visual_presacc_gauss_mean_narrow,visual_gauss_mean_narrow,baseline_presacc_gauss_max,baseline_gauss_max,memory_presacc_gauss_max,memory_gauss_max,visual_presacc_gauss_mean,visual_gauss_mean,baseline_presacc_gauss_median,baseline_gauss_median,memory_presacc_gauss_median,memory_gauss_median,visual_presacc_gauss_median,visual_gauss_median,baseline_narrow_gauss_mean,memory_narrow_gauss_mean,visual_narrow_gauss_mean,baseline_narrow_gauss_max,memory_narrow_gauss_max,visual_narrow_gauss_max,baseline_narrow_gauss_median,memory_narrow_gauss_median,visual_narrow_gauss_median,memory_gauss_mean_BC,memory_response_gauss_max_BC2,memory_response_gauss_median_BC_narrow,visual_response_gauss_mean_narrow_BC,visual_response_gauss_max_narrow_BC,visual_vs_baseline_gauss_median_narrow,visual_response_mean3_BC,memory_1st_vs_4th_Q_max_ranksum,visual_1st_vs_4th_Q_max_ranksum,new_saccade_baseline_max_ranksum,visual_geomean,visual_geomean_BC,memory_median_latency,visual_median_latency,visual_vs_base_median_p,memory_latency_in_50ms_of_max,visual_latency_in_50ms_of_max,memory_latency_sliding_ranksum,visual_latency_sliding_ranksum,memory_latency_sliding_above_baseline,visual_latency_sliding_above_baseline,memory_latency2,visual_latency2,baseline_presacc_spike_median,baseline_spike_median,memory_presacc_spike_median,memory_spike_median,visual_presacc_spike_median,visual_spike_median,baseline_modulation_spike_median,memory_response_spike_median_BC,visual_response_spike_median_BC,visual_response_spike_median ,memory_response_strength_vs_2D_baseline,memory_response_2D_mean_BC,memory_response_2D_median_BC,early_baseline_mean,early_baseline_max,early_baseline_median,last_memory_mean,last_few_memory_mean,last_memory_max,last_few_memory_max,last_memory_median,last_few_memory_median,visual_modulation_max_perisaccadic,baseline_presacc_median_raw2,baseline_median_raw2,memory_presacc_median_raw2,memory_median_raw2,visual_presacc_median_raw2,visual_median_raw2,baseline_modulation_mean,baseline_modulation_median_ranksum,baseline_presacc_narrowwindow_median,baseline_narrowwindow_median,baseline_presacc_narrowwindow_mean,baseline_narrowwindow_mean,baseline_presacc_narrowwindow_max,baseline_narrowwindow_max,visual_median_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_presacc_narrowwindow_max,visual_narrowwindow_max,memory_narrowwindow_median,memory_presacc_narrowwindow_mean,memory_narrowwindow_mean,memory_presacc_narrowwindow_max_narrow,memory_narrowwindow_max,baseline_modulation_perisacc_median_narrow_window,baseline_modulation_perisacc_mean_narrow_window,baseline_modulation_max_perisacc_narrow,visual_modulation_median,visual_modulation_mean_narrow,visual_modulation_perisacc_max,visual_median_BC,visual_response_mean5_BC,visual_response_peak_BC,memory_vs_base_median_p,memory_response_spike_mean_narrow_BC,memory_response_peak_BC,baseline_median_perisaccadic_modulation,baseline_mean_perisaccadic_modulation,baseline__modulation_perisacc_max,visual_median_perisaccadic_modulation2,visual_mean_perisaccadic_modulation,baseline_pre_vs_eyepos_median,baseline_pre_vs_eyepos_mean,baseline_pre_vs_eyepos_max,baseline_modulation_max,mem_vs_vis_indices,memory_pre_vs_post_sacc,baseline_VS_memory_mean_Indices,pre_vs_post_baseline_mean_indices,subject
3.36E-16,1,2.1216,3.0608,5.3724,0.15624,1.0651,0.001,5.6818,5.2083,1.5152,0.090307,3.165,0.74041,1,0,0,4.9505,3,0.001,0.83203,0.53911,0.45005,0.30941,1,2,64,1,1500,0.25237,0.9489,23.81,7.9365,5.5556,7.4074,3.4722,13.889,2.1216,0.70721,0.49505,0.66007,0.30941,1.2376,0.12667,0.53911,6.4935,1.5152,71.429,71.429,16.667,16.667,15.625,15.625,0.25237,0.039403,0.9489,-1.1423,-2.0387,0.098198,0,1,0,1.8,0,55.556,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.64072,0.64072,1,2.0029,0.70911,0.48081,0.49638,0.30611,0.84125,17.697,5.6992,3.9762,3.9894,2.4872,8.7206,0,0,0,0,0,0,1.4112,0.38299,0.32827,5.6992,2.2708,1.6621,0.2504,0.058428,0.054776,0.67994,0.667,0.88252,0.16059,0.16059,0.50889,0.83203,1,1,3456,0,1,-124,64,1,3333,4445,3452,3452,6125,6125,2,64,0,0,0,1,0,1,1,0.33333,0.012987,3.72E-07,0.97389,0.97389,1,0.9901,11.111,0,0,0,0,0,0,0,0.020739,0,0,0,0,0,0,0.55944,1,0,0,2.8011,1.4006,15.873,7.9365,0,0.30637,2.451,1.7361,13.889,0,0.25418,0.98039,1.8519,5.5556,1,1,1,1,0.0064572,0.0064572,1,0.28213,0.28213,1,0.64072,0.64072,1,0.19231,0.19231,1,0.020739,1,0.19231,0.19231,0.55944,0.30435,0.14286,-0.034483,-0.5,1
5.19E-16,1,0.45005,1.2937,2.2784,0.001,0.001,0.001,2.8409,2.8409,0.001,1,1.59,0.001,1,0,0,0,3,0.001,0.39141,0.28441,0.51434,0.56256,1,-124,60,1,1500,0.21863,0.53795,5.0505,0,5.9524,1.9841,6.9444,6.9444,0.45005,0,0.53041,0.1768,0.61881,0.61881,0.11077,0.28441,4.1322,3.2468,45.455,0,17.857,17.857,15.625,15.625,0.21863,1,0.53795,-1.2225,0.011719,-0.5698,0,0,0,0.73498,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.75613,0.75613,1,0.51387,0.076805,0.54847,0.17728,0.60237,0.23012,5.5891,2.1997,5.0311,1.4248,4.9806,2.4934,0,0,0,0,0,0,0,0.3528,0,0,1.4248,0,0,0.062601,0,0.28441,0.28441,0.28441,0.92614,0.92617,0.92617,0.39141,1,1,3456,0,1,-124,-124,1,3333,4445,3452,3452,6125,6125,-124,60,0,1,0,1,0,1,0.090909,1,0.000999,1.02E-08,0.56881,0.56881,1,0,0,0,0,0,0,0,0,0,0.50467,0,0,0,0,0,0,0.3633,1,0,0,0,0,0,0,0,0.61275,1.2255,3.4722,6.9444,0,0,0.35014,0,1.9841,1,1,1,1,0.20111,0.20111,1,0.11718,0.11718,1,0.28441,0.28441,1,0.3633,0.3633,1,0.50467,1,1,1,0.3633,0.55556,-0.5,1,-1,1
0.001,0,0.001,0.001,1.9143,0.001,1.0836,0.001,3.3259,2.9564,1.9342,0.32664,1.9133,1.0836,0,0,0,0,3,2.5253,0.011697,0.029815,0.57453,1.2404,0.091979,-124,68,-101,117,0.13332,0.055345,0,6.1728,7.0922,23.641,13.55,13.55,0,0.55006,0.38621,2.2119,1.1001,1.3282,0.87635,0.028748,0,4.8356,0,27.778,10.638,21.277,24.39,12.195,0.17219,0.68314,0.051228,1.1569,-0.55912,-1.8995,0,0,0,-2.7952,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.08581,0.093861,1,0,0.50625,0.38327,1.7067,1.1226,0.66338,0,4.4327,4.9068,13.443,10.392,5.9699,0,0,0,0,0,0,0.5488,1.1429,0.24911,2.2163,7.4606,1.1585,0.097379,0.2374,0.042752,0.062009,0.056888,0.58776,0.95305,0.95531,0.84876,0.011805,6.46E-25,2.34E-10,3456,0,1,-124,-124,1,3333,4445,3452,3452,6125,26,-124,68,0,1,0,1,0,1,0.0625,0.66667,1.65E-06,5.32E-11,0.059629,0.057496,1,1.9802,22.222,0,0,3.9604,0,44.444,0,0,0.34704,0,0,0,0,1.1086,0,0.16301,1,0,0,0,1.0893,0,6.1728,0,1.4347,2.1521,10.84,12.195,0,0.67214,2.4568,7.0922,15.366,1,0.16301,0.16301,1,0.16717,0.23625,1,0.16757,0.16757,1,0.11147,0.10319,1,0.34494,0.34494,1,0.28804,1,0.16301,0.16301,0.16301,-0.27132,0.53846,0.5859,1,1
1.74E-16,1,3.8504,4.6095,26.67,1.2622,7.5665,0.1803,43.29,42.027,13.258,2.7688,26.669,7.5655,1,1,4.9505,4.9505,3,10.101,0.00012044,0.11294,2.5128,3.0217,2.057,-20,-56,1,220,0.079651,0.20043,40.123,52.469,25.463,67.13,27.778,84.656,3.8504,5.7756,2.7044,7.3111,2.9991,12.271,0.00059547,0.18951,17.677,5.6818,55.556,55.556,20.833,31.25,23.81,71.429,0.00066732,4.84E-09,0.27669,-3.241,-5.6831,-0.87972,1,1,0,-2.9818,55.556,55.556,0,0,0,0,0,0,0,0,1,1,1,-0.57835,1,1,0.34494,0.16062,0.3607,0.23147,0.034689,3.8869,4.2143,2.6742,5.3077,2.998,8.0769,28.202,29.54,17.98,37.105,20.716,53.773,0.097379,0,0.30082,0.41595,0.44776,0.85462,3.0996,3.3926,4.8181,16.7,15.386,21.17,0.13045,1.1192,0.98191,0.55095,0.63188,0.14217,0.0053384,0.0032925,0.29371,2.15E-05,1,1,3456,0,1,-20,-52,1,-21,4445,-95,5,33,44,33,-56,0,1,0,2,0,2,1.84E-05,0.17312,4.73E-08,5.65E-14,0.22588,0.37901,1,4.9505,44.444,0,4.9505,5.2805,55.556,55.556,0,0,1.67E-07,2.5253,0,1.8939,0.94697,3.2468,2.1645,0.028216,1,0,0,2.7233,10.288,15.432,49.383,3.9683,2.9827,19.53,15.873,83.333,1.1574,1.9744,12.731,11.574,65.972,1,0.0016507,0.0022535,0.040983,1.53E-10,8.56E-10,0.12876,0.0028256,0.006854,0.28151,0.14849,0.092234,1,0.37372,0.17921,1,6.61E-09,1,0.88485,0.98543,0.028616,0.11547,0.45,0.12258,0.13333,1
0.001,1,1.6502,2.7616,3.758,0.001,3.4903,0.001,5.9289,4.776,4.0404,0.4415,3.757,3.2894,0,0,0,4.9505,3,3.0303,0.51261,0.40548,0.55006,1.5556,0.22075,44,56,1,1500,0.78957,0.68052,25.926,14.815,9.8765,18.519,16.908,16.908,1.7968,1.3201,0.59895,1.6135,1.4469,1.5067,0.46623,0.42261,9.0909,3.0303,66.667,33.333,22.222,11.111,10.87,21.739,0.8414,0.91914,0.71158,-0.084749,-0.96652,-0.19523,0,0,0,-0.17289,0,55.556,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.51233,0.39986,0.38168,1,1.8303,0.99215,0.62402,1.0917,1.4681,0.88246,17.395,7.9788,6.6766,10.445,11.794,7.8498,0,0,0,0,0.038105,0.029528,1.0779,0.8149,0.14549,5.5081,3.8789,1.204,0,0.077904,0,0.78658,0.79929,0.213,0.95776,0.95588,0.97954,0.39613,1,1,3456,0,1,44,56,1,3333,4445,3452,-124,179,-24,179,56,0,1,0,1,0,1,0.025,0.16364,0.00010771,7.24E-10,0.81096,0.84521,1,1.9802,22.222,0,0,0,0,0,0,0,0.18534,0,0,0,0,0.98814,0,1,1,0,0,0.65359,2.3965,3.7037,14.815,0,2.0839,2.8891,14.493,16.908,0,0.94408,3.0501,6.1728,17.284,1,0.16848,0.15769,1,0.054226,0.078417,1,0.3601,0.39551,1,0.42543,0.46908,1,0.14165,0.14133,1,0.16689,1,0.17964,0.16938,0.85111,-0.045455,0.30435,0.11111,-0.27273,1
0.001,1,4.4004,4.4268,21.367,1.1101,6.997,0.001,51.948,47.619,18.939,3.9102,21.366,6.997,1,0,9.901,9.901,3,15.152,0.00025287,0.6627,3.9754,3.9647,3.8046,-8,-56,268,224,0.034677,0.95408,46.296,80.247,38.194,81.019,30.423,107.14,4.4004,8.6786,3.7702,8.8696,3.8635,15.297,0.00021861,0.60806,15.152,8.5227,55.556,55.556,31.25,31.25,35.714,107.14,0.00019662,5.75E-09,0.89775,-3.5165,-5.7944,0.27427,1,1,0,-3.1685,55.556,111.11,0,0,0,0,0,0,0,0,1,1,1,-0.57835,1,1,0.34494,0.0025534,0.38093,0.22317,0.061223,4.4331,5.568,3.829,6.7124,3.8402,10.777,33.056,41.836,27.487,49.025,23.448,64.784,0.16642,0,0.070629,0.27968,0.56941,1.824,4.489,4.0532,6.8059,23.493,18.379,29.445,0.22783,1.2725,1.7308,0.70351,0.72999,0.35778,0.0017626,0.00061985,0.13461,1.71E-05,1,1,3456,0,1,-2,-56,1,-3,5,-41,-14,-45,22,-3,5,0,2,0,2,0,3,3.11E-05,0.6421,6.21E-08,1.14E-13,0.68622,0.7953,1,8.0308,77.778,0,0,5.0605,0,55.556,0,0,5.13E-09,2.5253,2.5253,4.7348,1.8939,3.2468,3.2468,0.0019866,1,0,0,4.3573,14.403,24.691,74.074,3.9683,4.3314,24.017,21.164,105.82,1.1574,4.4254,15.659,25.463,81.019,1,0.00053422,0.00061956,0.040983,8.53E-11,1.88E-10,0.12876,0.0047153,0.02499,0.28151,0.45763,0.48441,1,0.19312,0.096651,1,3.43E-09,1,0.75868,0.75769,0.0060312,0.13884,0.35922,0.0047847,0.26829,1
0.001,1,1.1101,1.8543,9.8129,0.001,4.4026,0.0017818,10.87,8.7286,4.9407,0.53988,9.2243,4.0589,0,1,0,4.9505,3,3.0303,0.13606,0.17961,0.5381,1.0566,0.11038,46,58,1,224,1,0.25383,14.815,11.111,8.4541,24.155,9.6618,24.155,1.1001,0.9901,0.57397,2.1165,1.0523,2.1763,0.32161,0.18845,6.0606,2.9644,33.333,33.333,21.739,21.739,10.87,21.739,0.93574,0.10491,0.26632,-0.46319,-2.4793,-0.88363,0,0,0,-0.86069,0,55.556,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.9247,0.24749,0.28274,1,1.1324,0.79292,0.58186,1.5965,1.0507,1.2908,9.9912,8.8636,5.9475,15.205,6.7522,13.081,0,0,0,0,0.060759,0,1.1001,1.2309,0.48219,5.3192,5.7763,2.8063,0,0.12234,0.038105,0.5,0.5171,0.2156,0.67252,0.64475,0.84795,0.11223,1,1,3456,0,1,46,58,1,3333,4445,3452,-124,278,44,278,58,0,1.5,0,1,0,1,0.00042017,0.88187,5.31E-06,2.33E-12,0.35921,0.3769,1,1.9802,22.222,0,0,0,0,0,0,0,0.0057406,0,0,0,0,0.98814,0,1,1,0,0,0,1.8155,0,11.111,0,1.184,4.1915,8.4541,22.947,0,0.94724,4.0494,6.0386,22.947,1,0.079602,0.079231,1,0.0030127,0.0045943,1,0.11027,0.12763,1,0.19534,0.21994,1,0.079725,0.079602,1,0.0065812,1,0.67789,0.67757,0.95245,0,0.48148,0.36986,-0.14286,1
5.19E-16,1,0.38081,1.0947,1.9877,0.001,0.91333,0.001,2.5253,2.5253,1.3369,0.048695,1.435,0.7709,1,0,0,0,3,0.001,0.48096,0.28407,0.42357,0.53755,1,428,68,1,1500,0.33849,0.54221,4.2735,0,4.902,1.634,7.716,4.6296,0.38081,0,0.43681,0.1456,0.64173,0.41254,0.1711,0.28407,3.4965,2.6738,38.462,0,14.706,0,13.889,13.889,0.33849,0.52414,0.54221,-0.94983,0.72354,-0.57078,0,0,0,0.74812,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0.44598,0,0.45716,0,0.61758,0.15956,4.9301,0,4.2318,0,5.5408,2.2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.84797,0.84797,0.84797,0.48096,1,1,3456,0,1,428,-124,1,3333,4445,3452,3452,6125,6125,428,68,0,1,0,1,0,1,0.076923,1,0.0021008,5.39E-08,0.56815,0.56815,1,0,0,0,0,0,0,0,0,0,0.77491,0,0,0,0,0,0,0.35597,1,0,0,0,0,0,0,0,0.27233,0.81699,1.5432,4.6296,0,0,0.28835,0,1.634,1,1,1,1,0.15682,0.15682,1,0.15011,0.15011,1,0.28407,0.28407,1,0.35597,0.35597,1,0.76532,1,1,1,0.35597,0.47826,-0.5,1,-1,1
1.14E-15,1,3.0303,3.7113,15.231,0.001,4.9697,0.001,46.443,40.679,19.763,3.4879,15.23,4.9687,1,1,8.2508,19.802,3,18.182,8.56E-05,0.32528,4.7646,5.9191,3.0704,68,44,261,209,1,0.50198,29.63,74.074,42.271,86.957,56.763,86.957,3.1536,7.8108,4.8429,8.6933,5.7038,11.264,0.032447,0.42724,12.121,11.858,66.667,66.667,32.609,32.609,32.609,86.957,0.099951,0.0005645,0.63663,-1.846,-4.0248,-0.18341,0,1,0,-3.7256,111.11,166.67,0,0,0,0,0,0,0,0,1,1,1,-0.53297,1,1,0.63272,0.032926,0.26781,0.29183,0.79094,3.1169,3.4789,4.8132,4.7023,5.6789,8.6403,21.46,26.939,30.999,37.381,40.568,60.999,0.25832,0.27618,1.0275,0.20416,0.19056,0.53577,0.90226,5.0724,6.2285,5.6206,20.702,25.65,0.05277,1.0838,1.6757,0.059862,0.066624,0.059707,0.24471,0.34483,0.145,1.46E-05,1,1,3456,0,1,68,44,1,3333,4445,3,-67,-36,-62,68,44,0,2,0,2,0,2,1.14E-05,0.87322,9.48E-06,2.12E-11,0.65057,0.85448,1,4.9505,44.444,0,14.851,7.9208,166.67,66.667,0,0,0.0016134,3.0303,0,3.9526,2.9644,5.9289,1.9763,0.0032669,1,0,0,3.7763,13.072,22.222,66.667,3.6232,6.2044,18.968,37.44,86.957,1.2077,5.6834,16.269,30.193,84.541,1,0.0033534,0.0064516,0.041043,2.10E-08,2.62E-06,0.16265,0.035468,0.074258,0.29703,0.18312,0.20523,1,0.27895,0.24036,1,2.85E-05,1,0.73644,0.68145,0.0098714,0,0.34579,0.08,0.42857,1
0.001,1,3.2789,3.7442,3.1586,0.001,2.7501,0.48477,9.7403,8.3874,8.2645,3.0239,3.1586,2.7491,0,1,4.9505,4.9505,3,16.234,0.0022887,0.55375,1.9025,3.2146,2.4834,76,78,1,1500,0.54227,0.8797,27.778,51.587,12.626,50.505,31.746,53.571,3.4575,4.9505,1.8502,6.2506,3.1825,6.3649,0.61459,0.0281,12.987,6.1983,35.714,35.714,45.455,22.727,35.714,53.571,0.89867,0.0029204,0.23153,0.2913,-3.5979,-1.9095,0,1,0,-2.0835,55.556,55.556,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.35311,0.84983,0.13758,0.14885,0.082405,3.4071,1.3079,1.9194,3.2296,3.1679,1.6196,20.145,8.8022,9.5324,20.664,22.233,17.107,0.1252,0,0.76025,0.23902,0.46256,0,1.9532,2.5607,0.78765,8.5488,12.09,3.9812,0.22222,0.4253,0.1252,0.29659,0.28009,0.52152,0.96783,0.96939,0.981,0.0087661,1,1,3456,0,1,86,-124,1,3333,4445,63,-100,116,4,116,78,0,1,0,1,0,1,0.0001616,0.62088,3.82E-06,7.60E-09,0.93537,0.056201,1,4.9505,55.556,0,4.9505,6.7107,55.556,55.556,0,0,0.0016779,3.2468,3.2468,2.0661,2.0661,3.2468,3.2468,0.15106,1,0,0,2.1008,9.8039,11.905,51.587,0,3.8515,10.193,21.825,53.571,0,1.3864,9.0117,10.101,50.505,1,0.00082294,0.00090082,1,1.55E-05,2.47E-05,1,0.20119,0.3877,1,0.35825,0.55375,1,0.65741,0.28491,1,0.00016038,1,0.50503,0.5563,0.047039,0.029463,0.6,-0.010601,0.3,1
3.58E-16,1,6.815,6.2706,5.3063,0.001,2.5506,0.001,29.221,25.433,20.661,7.8677,5.3063,2.5506,1,1,4.9505,4.9505,3,22.727,0.00044931,0.44194,9.3691,8.5991,5.5044,78,72,1,301,0.37377,0.9264,47.619,87.302,45.455,88.384,61.508,97.222,6.8757,9.1938,8.7259,12.676,8.4276,14.282,0.27162,0.12975,19.481,18.595,35.714,71.429,68.182,90.909,35.714,71.429,0.49689,0.016383,0.13172,-0.60793,-2.7539,-1.1276,0,1,0,-2.3543,55.556,55.556,0,0,0,0,2.5253,0,0,1.9841,1,1,0,-1.3891,1,0.25572,0.53569,0.66381,0.037841,0.08695,0.24781,6.814,4.1601,8.7876,6.6639,8.3711,7.0997,33.673,29.853,31.635,42.087,43.569,38.367,1.533,0.18174,4.5217,0.85836,1.7212,0.65133,4.8768,7.6583,6.6356,21.09,25.969,25.105,0.6242,3.6164,2.7851,0.23414,0.25423,0.091934,0.86616,0.80938,0.9422,0.0016719,3.19E-15,1.17E-07,3456,0,1,-124,72,0.25572,3333,4445,-69,-26,25,61,78,72,0,2,0,2,0,2,0.00022675,0.14182,4.41E-06,1.41E-08,0.88388,0.2595,1,7.9208,77.778,0,4.9505,12.321,55.556,100,0,0,0.00064324,3.2468,3.2468,10.331,8.2645,8.1169,4.8701,0.076102,1,3.9683,0,6.0691,16.106,27.778,87.302,9.9206,10.777,23.771,51.587,97.222,7.5758,8.6156,20.648,32.828,88.384,0.35311,0.0008225,0.00062164,0.010569,5.61E-05,2.72E-05,0.050437,0.042855,0.19471,0.082405,0.15121,0.44194,1,0.60987,0.032641,0.16745,0.0029442,1,0.29219,0.45251,0.013871,0.047619,0.32075,0.0061602,0.29412,1
0.001,1,2.8289,2.928,5.5826,0.096301,1.4596,0.001,16.234,14.61,10.331,3.1265,5.5826,1.4586,1,0,4.9505,4.9505,3,12.987,5.54E-05,0.31545,5.1141,3.4236,2.5479,134,66,1,284,0.080608,0.61432,23.81,47.619,35.354,53.03,33.73,69.444,2.8289,4.5969,4.7255,6.2756,3.3593,8.2901,0.092281,0.16581,9.7403,10.331,35.714,35.714,45.455,45.455,35.714,35.714,0.17338,0.00050987,0.2547,-1.3268,-4.0135,-0.97086,0,1,0,-2.2262,55.556,55.556,0,0,0,0,2.5253,0,0,0,1,1,0,-0.74074,1,1,0.35311,0.72172,0.23009,0.20867,1,2.8153,1.6686,4.7036,2.07,3.3152,2.7759,17.129,12.986,25.042,17.06,24.097,24.202,0.1252,0,1.8951,0,0.099819,0.062601,2.7897,1.7185,1.5278,11.398,6.9198,8.5224,0.28206,1.1795,0.14103,0.6957,0.68886,0.82766,0.92049,0.90789,0.87854,0.00047251,1,1,3456,0,1,-124,66,1,3333,4445,1,3452,83,-24,134,66,0,1,0,1,0,1,0.0001616,0.31319,1.45E-05,4.42E-08,0.63091,0.33162,1,3.9604,44.444,0,0,6.9307,0,55.556,0,0,0.00010778,3.2468,3.2468,4.1322,2.0661,3.2468,1.6234,0.13856,1,0,0,2.8011,8.4034,11.905,47.619,1.9841,4.085,13.694,27.778,67.46,2.5253,5.6447,11.091,25.253,53.03,1,0.0080327,0.0029457,0.16745,4.73E-07,4.11E-05,0.25572,0.027975,0.040002,0.22942,0.19135,0.31545,1,0.78898,0.22025,1,2.99E-05,1,0.18791,0.24455,0.047177,0.13402,0.2,0.053763,0.33333,1
1.54E-17,1,8.2294,7.2099,7.8798,0.8368,10.805,1.9888,38.961,35.173,41.322,14.449,7.8798,10.804,1,1,19.252,20.352,3,32.468,3.02E-05,0.33434,8.3872,10.785,11.353,280,66,712,288,0.81338,0.57176,59.524,111.11,60.606,118.69,69.444,121.03,7.9365,17.445,7.9008,21.802,10.844,21.197,0.68759,0.050284,29.221,14.463,71.429,71.429,45.455,68.182,53.571,71.429,0.81131,4.42E-05,0.14816,0.48902,-3.8233,-1.6421,0,1,0,-3.888,166.67,111.11,0,0,0,3.9683,0,2.5253,1.9841,1.9841,0.36791,0.64353,1,-0.1694,0.35311,0.25572,0.73469,0.61224,0.21315,0.21128,0.45035,8.0564,8.1378,7.9859,9.6012,10.86,11.079,40.072,40.096,41.799,46.321,47.176,51.432,1.7488,2.6205,1.3823,3.0905,4.5556,2.6815,8.2475,8.3566,8.4674,26.513,32.684,33.968,5.7101,2.9007,2.8565,0.41587,0.22408,0.51367,0.63784,0.46676,0.90261,9.12E-05,1,1,3456,0,1,280,66,0.70622,3333,4445,-6,-15,-24,33,280,66,0,2,0,2,0,3,2.90E-05,0.24114,1.78E-06,2.16E-08,0.66868,0.10057,0.77476,19.472,111.11,11.111,24.752,24.202,111.11,111.11,0,0,4.85E-06,6.4935,9.7403,8.2645,12.397,11.364,14.61,0.011085,0.35311,0,3.9683,5.1354,22.409,31.746,107.14,9.9206,10.504,27.428,49.603,121.03,5.0505,7.7243,27.382,37.879,118.69,0.35311,0.00026495,0.00035881,0.11761,8.36E-07,1.54E-08,0.18347,0.13951,0.13354,0.43274,0.10484,0.21264,1,0.42007,0.18225,0.51017,6.58E-05,0.35311,0.03582,0.079545,0.006895,0.0097818,0.32394,0.032967,0.30233,1
2.93E-16,1,0.35361,1.0165,8.3939,1.7115,4.4402,0.13526,11.364,10.823,10.331,2.2782,8.3939,4.4392,1,1,9.901,4.9505,3,6.4935,7.74E-07,0.040757,2.0252,1.0126,0.94607,48,56,109,225,0.08488,0.075694,3.9683,27.778,20.202,45.455,11.905,61.508,0.35361,2.8289,2.0252,5.0755,1.0608,6.8168,0.13471,0.030123,3.2468,6.1983,35.714,35.714,45.455,22.727,17.857,53.571,0.16219,4.01E-07,0.059213,-1.1044,-5.1537,-1.879,0,1,0,-3.9219,55.556,55.556,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0060782,0.0054913,0.22942,0.35267,0.43465,2.0194,2.5356,1.0443,2.1372,2.8354,4.9188,13.539,19.924,8.5203,21.154,0,0,0.079674,0.079674,0,0,0.7056,2.0002,1.2397,2.8496,9.8258,8.1714,0.1252,0.43895,0.062601,0.051622,0.053812,0.17906,0.080922,0.073726,0.5,1.69E-06,1,1,3456,0,1,56,56,1,3333,4445,400,-11,133,-102,133,56,0,1,0,1,0,1,0.028571,0.1697,0.0001532,1.37E-06,0.081513,0.060246,1,3.9604,44.444,0,4.9505,5.5006,55.556,44.444,0,0,1.66E-07,0,0,2.0661,2.0661,0,1.6234,0.014306,1,0,0,0.70028,4.902,3.9683,27.778,3.9683,0.38904,11.749,3.9683,59.524,0,1.7825,8.0214,10.101,42.929,1,0.014875,0.014875,0.080493,2.19E-09,4.49E-09,0.16447,0.0024633,0.0035665,1,0.060568,0.073812,1,0.20174,0.15589,1,1.28E-07,1,0.35311,0.35311,0.014875,0.15008,0.38462,0.24138,0.75,1
